,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
244201,RAFFERTY,1997,2450697.5,249,1510,1.0,Lightning,2450697.5,249.0,1755,0.2,A,37.86687,-119.32243
1732255,BIC,2014,2456777.5,120,1815,7.0,Arson,2456777.5,120.0,2200,1.0,B,48.26122,-109.73244
308339,SHINEY,2005,2453562.5,192,1400,11.0,Powerline,2453562.5,192.0,1535,0.1,A,35.1442,-114.105
1230401,OHIO STREEET FIRE,2009,2454938.5,107,1637,3.0,Smoking,2454938.5,107.0,1637,2.0,B,43.17844,-90.44474
672016,,2003,2452752.5,113,,6.0,Railroad,,,,0.3,B,43.61111096,-89.09112173
21817,OR-MAF-224,2007,2454320.5,220,1403,1.0,Lightning,2454320.5,220.0,1630,0.1,A,44.59888889,-118.80222222
1534301,MCC REKINDLE #4 STONEBURG,2009,2454932.5,101,,9.0,Miscellaneous,,,,20.0,C,33.66798437,-97.8797253
804797,,2001,2452029.5,120,,7.0,Arson,,,,50.0,C,37.3008,-83.1444
33878,SCHOOL,2008,2454766.5,301,0526,3.0,Smoking,2454766.5,301.0,0630,0.1,A,34.26916667,-117.16722222
709820,,1995,2449991.5,274,1609,5.0,Debris Burning,2449991.5,274.0,1807,20.0,C,31.73461075,-89.830173
731325,,1995,2449775.5,58,,13.0,Missing/Undefined,2449775.5,58.0,,0.5,B,33.04166667,-80.10833333
996767,,2000,2451738.5,195,,1.0,Lightning,,,,2.0,B,30.35,-81.94
1199446,,2010,2455300.5,104,,12.0,Structure,,,,0.2,A,37.42124478,-81.51179245
1731424,RL 088,2014,2456766.5,109,1710,7.0,Arson,2456766.5,109.0,1728,0.3,B,47.8747,-95.0428
340179,TINY BLACK,2002,2452531.5,257,0745,9.0,Miscellaneous,2452531.5,257.0,1600,0.1,A,43.4685,-118.4399
89478,SPONGE CREEK,1996,2450329.5,247,1125,1.0,Lightning,2450329.5,247.0,1600,1.0,B,46.34666667,-115.08333333
772774,BV,2006,2453972.5,237,,2.0,Equipment Use,2453972.5,237.0,,0.3,B,42.03383,-121.90033
1350105,,2001,2452231.5,322,,5.0,Debris Burning,,,,1.0,B,42.715682,-77.409069
527108,,2007,2454285.5,185,,13.0,Missing/Undefined,,,,5.0,B,34.83061,-79.69973
169021,MCCALLA RIDGE,2004,2453183.5,179,1130,1.0,Lightning,2453213.5,209.0,1500,0.1,A,45.35277778,-115.05277778
1747912,DODGER DR/ FALLS BR FIRE,2014,2456730.5,73,1450,4.0,Campfire,,,,10.0,C,38.384171,-82.953529
1202175,,2010,2455463.5,267,,5.0,Debris Burning,,,,0.08,A,32.20260674,-83.57529996
613760,,1999,2451543.5,365,,5.0,Debris Burning,,,,4.0,B,32.73542,-94.74375
414499,,2006,2453743.5,8,,7.0,Arson,,,,1.0,B,28.53222001,-82.16944002
1741828,BRIEF ROAD,2014,2456758.5,101,1543,2.0,Equipment Use,2456758.5,101.0,1559,0.3,B,35.18201666,-80.61135
500716,,1997,2450564.5,116,,7.0,Arson,,,,1.5,B,47.064134,-92.73618
426137,,2005,2453402.5,32,,7.0,Arson,,,,2.0,B,31.57828668,-82.4071109
1117073,DOWD                     ,2010,2455474.5,278,,8.0,Children,,,,9.6,B,38.96611111,-121.37694444
